snapped_at,price,market_cap,total_volume
2023-02-26 00:00:00 UTC,0.7105897363160674,0.0,4562498.830197892
2023-02-27 00:00:00 UTC,0.7105897363160674,0.0,4562498.830197892
2023-02-28 00:00:00 UTC,0.6526423664650105,0.0,1751963.2907405945
2023-03-01 00:00:00 UTC,0.5765881061939584,0.0,882615.2183820567
2023-03-02 00:00:00 UTC,0.5296740972376273,0.0,538866.3231655441
2023-03-03 00:00:00 UTC,0.49068301117328256,0.0,454078.14881285495
2023-03-04 00:00:00 UTC,0.4609505585278713,0.0,430296.20744079835
2023-03-05 00:00:00 UTC,0.5078444745115088,0.0,555345.6031795745
2023-03-06 00:00:00 UTC,0.5242931299182733,0.0,286879.797729506
2023-03-07 00:00:00 UTC,0.5258542401853845,0.0,268385.47634845256
2023-03-08 00:00:00 UTC,0.4888365005056599,0.0,245286.42949287436
2023-03-09 00:00:00 UTC,0.4773410887203755,0.0,209027.67587195037
2023-03-10 00:00:00 UTC,0.44214803322392676,0.0,170357.71546417088
2023-03-11 00:00:00 UTC,0.45042281073544,0.0,151095.95950037436
2023-03-12 00:00:00 UTC,0.4099284367718881,0.0,191316.8560121146
2023-03-13 00:00:00 UTC,0.420838271269711,0.0,62247.844340091564
2023-03-14 00:00:00 UTC,0.42313647018782313,0.0,151746.13900970473
2023-03-15 00:00:00 UTC,0.4245366681394895,0.0,122344.72603798256
2023-03-16 00:00:00 UTC,0.46435144987456034,0.0,214519.1166179045
2023-03-17 00:00:00 UTC,0.5175543942219132,0.0,485610.76352147583
2023-03-18 00:00:00 UTC,0.5445853060211459,0.0,328361.048834625
2023-03-19 00:00:00 UTC,0.6216014950014249,0.0,1187965.8650289108
2023-03-20 00:00:00 UTC,0.6163793114815141,0.0,684487.2267095618
2023-03-21 00:00:00 UTC,0.5738576473222149,8607611.920706572,650882.914827169
2023-03-22 00:00:00 UTC,0.6223928332882276,9304321.80237772,460145.6557614657
2023-03-23 00:00:00 UTC,0.5394361562683289,8214120.623985415,561828.4503067038
2023-03-24 00:00:00 UTC,0.48521585988120214,7211996.051936877,430337.8931484394
2023-03-25 00:00:00 UTC,0.4600773931756535,6899916.719023713,225406.80931866475
2023-03-26 00:00:00 UTC,0.44567945843647444,6739460.954062296,123516.89044402666
2023-03-27 00:00:00 UTC,0.4331115393567237,6483557.1765586035,140733.64981326653
2023-03-28 00:00:00 UTC,0.4305266777827573,6460384.255989914,128983.49589931328
2023-03-29 00:00:00 UTC,0.4357371666603521,6542997.670657059,126457.45422524659
2023-03-30 00:00:00 UTC,0.47165567909227635,6995921.468203668,386392.4309665002
2023-03-31 00:00:00 UTC,0.4535649933806874,6808076.682065832,187911.01330066996
2023-04-01 00:00:00 UTC,0.46130044037870194,6936120.691746703,96835.11141536529
2023-04-02 00:00:00 UTC,0.44183313423591736,6661581.347769924,151265.79607586662
2023-04-03 00:00:00 UTC,0.4534178879664843,6805788.356250037,123553.7527024386
2023-04-04 00:00:00 UTC,0.4458197166598786,6773784.094952915,115306.26943838531
2023-04-05 00:00:00 UTC,0.44815298182313756,6828679.751650505,87645.85834670794
2023-04-06 00:00:00 UTC,0.4328530761881778,6512177.869644831,140739.00126514505
2023-04-07 00:00:00 UTC,0.41728665943240023,6211988.527515204,87415.93750028545
2023-04-08 00:00:00 UTC,0.4102956473211531,6151930.513835362,77511.0989121376
2023-04-09 00:00:00 UTC,0.4175640403730018,6237464.924702492,78585.08429406962
2023-04-10 00:00:00 UTC,0.4100255620412836,6143623.989553035,70066.29498060443
2023-04-11 00:00:00 UTC,0.38297890831273756,5742749.12263861,82125.03544847717
2023-04-12 00:00:00 UTC,0.3760480713035136,5641494.476094278,56041.522226213696
2023-04-13 00:00:00 UTC,0.3465568901140883,5206639.102097877,121755.42771173829
2023-04-14 00:00:00 UTC,0.3337012771911324,5027229.690164266,241079.40855943493
