,snapped_at,price,market_cap,total_volume,snapped_at_datetime,price_coll_vs_usd,price_eth_vs_usd,log_returns,volatility
1615,2023-02-26 00:00:00 UTC,47.49232162801455,911366222.3173938,6800419.968533946,2023-02-26 00:00:00+00:00,47.49232162801455,140.27393527388705,0.0178091133491777,1.073967529994004
1616,2023-02-27 00:00:00 UTC,49.76260421214939,954920827.6024084,9173650.943089249,2023-02-27 00:00:00+00:00,49.76260421214939,137.86055928182662,0.046695734477334466,1.0675111026840278
1617,2023-02-28 00:00:00 UTC,48.30616349516417,926828439.2572228,9090768.797062602,2023-02-28 00:00:00+00:00,48.30616349516417,144.6047743464792,-0.029704621401860722,1.0614520561752543
1618,2023-03-01 00:00:00 UTC,46.52632562437862,892537407.281333,7097877.675970018,2023-03-01 00:00:00+00:00,46.52632562437862,142.18233327497873,-0.0375408662578902,1.057724873381234
1619,2023-03-02 00:00:00 UTC,46.74478027654475,894330870.5277035,17499684.800506406,2023-03-02 00:00:00+00:00,46.74478027654475,145.42287633530452,0.004684302807666566,1.0460680775171618
1620,2023-03-03 00:00:00 UTC,44.27019337998362,849249588.6657944,10441095.503084663,2023-03-03 00:00:00+00:00,44.27019337998362,143.58796905036286,-0.054390982733245455,1.0490881547866404
1621,2023-03-04 00:00:00 UTC,41.1014503272193,788101439.7741685,11473321.752825793,2023-03-04 00:00:00+00:00,41.1014503272193,165.99143854583525,-0.07426820628282192,1.0619209162515009
1622,2023-03-05 00:00:00 UTC,39.176081450694326,752010869.3295286,7629232.121436982,2023-03-05 00:00:00+00:00,39.176081450694326,166.2530969048888,-0.047977015151877,1.0604827441620794
1623,2023-03-06 00:00:00 UTC,40.20448463859746,772551314.3414931,7519179.331521741,2023-03-06 00:00:00+00:00,40.20448463859746,163.80590111423027,0.025912154082285054,1.0507120822977734
1624,2023-03-07 00:00:00 UTC,38.87437704491439,745745878.67243,5866476.258349689,2023-03-07 00:00:00+00:00,38.87437704491439,171.15621787671842,-0.03364320177400627,1.0444141860356764
1625,2023-03-08 00:00:00 UTC,36.82757047750545,704615851.5433965,9132275.390006302,2023-03-08 00:00:00+00:00,36.82757047750545,174.23837318258896,-0.054088583378244286,1.0452667684599526
1626,2023-03-09 00:00:00 UTC,36.97648465628379,709416359.7460792,6050125.139974073,2023-03-09 00:00:00+00:00,36.97648465628379,166.6271059505621,0.004035398342010539,1.0337386128877413
1627,2023-03-10 00:00:00 UTC,36.539140166402376,699710697.8184351,8915954.766077233,2023-03-10 00:00:00+00:00,36.539140166402376,166.93852805776982,-0.01189814139079938,1.0230317198340053
1628,2023-03-11 00:00:00 UTC,35.42686908473843,679432005.0220232,10640689.359612688,2023-03-11 00:00:00+00:00,35.42686908473843,169.27993585839258,-0.030913473448166907,1.015810294307057
1629,2023-03-12 00:00:00 UTC,34.12526563075919,654071732.5730199,13291800.91295681,2023-03-12 00:00:00+00:00,34.12526563075919,167.8265296405669,-0.037432508401305395,1.010304948059476
1630,2023-03-13 00:00:00 UTC,37.22304290648602,710325996.664515,9793657.356435977,2023-03-13 00:00:00+00:00,37.22304290648602,162.51937110634034,0.08688996495336171,1.0287859122808398
1631,2023-03-14 00:00:00 UTC,42.830785504635664,821728562.0025773,14223207.406454012,2023-03-14 00:00:00+00:00,42.830785504635664,162.40947975163584,0.14032912903622988,1.0897204564618566
1632,2023-03-15 00:00:00 UTC,43.09517137484101,826302229.5144024,13015813.036643077,2023-03-15 00:00:00+00:00,43.09517137484101,160.6736108617405,0.006153826251224461,1.077685718573171
1633,2023-03-16 00:00:00 UTC,38.85594519800157,744201172.3476546,12473551.574029896,2023-03-16 00:00:00+00:00,38.85594519800157,167.6474095857562,-0.10354986311177618,1.1086359824812673
1634,2023-03-17 00:00:00 UTC,41.39890195584164,797461374.5211941,12099569.710180186,2023-03-17 00:00:00+00:00,41.39890195584164,169.7364357354222,0.06339326301835597,1.1097430730550004
1635,2023-03-18 00:00:00 UTC,43.14854078572946,826723821.6408113,9240762.491661897,2023-03-18 00:00:00+00:00,43.14854078572946,175.19000305345378,0.04139424203539739,1.1025803939734586
1636,2023-03-19 00:00:00 UTC,42.383227505142095,815228820.2830468,6722291.755370659,2023-03-19 00:00:00+00:00,42.383227505142095,173.70688823620796,-0.017895893441675,1.0922386722787696
1637,2023-03-20 00:00:00 UTC,43.17757030096258,836765694.9064219,5809687.922058099,2023-03-20 00:00:00+00:00,43.17757030096258,184.72621843141044,0.018568448152224075,1.080935808435342
1638,2023-03-21 00:00:00 UTC,40.97746771366502,788844378.293149,6574366.234892912,2023-03-21 00:00:00+00:00,40.97746771366502,179.22910385240368,-0.05229880674262508,1.0808706028555533
1639,2023-03-22 00:00:00 UTC,41.04037534275836,789386240.2826995,7653962.612345417,2023-03-22 00:00:00+00:00,41.04037534275836,183.33693755210257,0.0015339989223076777,1.0689370931442477
1640,2023-03-23 00:00:00 UTC,38.6940390722195,744529659.8756288,6253116.416410238,2023-03-23 00:00:00+00:00,38.6940390722195,188.55064179431116,-0.058870787568989474,1.0714642175732099
