price,price_at_expiry,loan_per_coll,repayment_amount,volatility,loan_inception_time,loan_expiry_time,defaulted,loss_given_default,roi_from_interest,roi_from_upfront_fee,net_roi,cumulative_roi,min_delta,max_delta,unclaimed_collateral,delta_hedge_inventory,final_collateral_position,hedge_cumulative_pnl,hedge_unwind_pnl,final_hedged_pnl,final_hedged_pnl_with_repayment_and_upfront_fee,final_unhedged_pnl_with_repayment_and_upfront_fee
0.9764303299247902,0.5488687446256781,0.292929098977437,0.29437368083540794,1.5959773722931698,2018-07-21 00:00:00+00:00,2018-10-19 00:00:00+00:00,False,0.0,0.004931506849314982,0.01666666666666667,0.02159817351598165,0.02159817351598165,1.7266674984806052e-05,0.19341951738892027,0,-0.19341951738892027,-0.19341951738892027,0.10382610749863384,-0.10616192769536119,-0.002335820196727345,0.003990913310867523,0.006326733507594868
1.0022137291626585,0.5506849869304368,0.30066411874879756,0.3021468459097505,1.2071819052586379,2018-07-22 00:00:00+00:00,2018-10-20 00:00:00+00:00,False,0.0,0.004931506849314982,0.016666666666666666,0.021598173515981648,0.0431963470319633,1.4717799613261917e-05,0.18510765760993553,0,-0.18510765760993553,-0.18510765760993553,0.10006452582549293,-0.1019360080116511,-0.0018714821861581799,0.004622313620608047,0.006493795806766227
0.9453680370584744,0.5945798105435468,0.2836104111175423,0.2850090378025055,1.1290048261251193,2018-07-23 00:00:00+00:00,2018-10-21 00:00:00+00:00,False,0.0,0.004931506849314982,0.016666666666666666,0.021598173515981648,0.06479452054794495,1.1997009838671246e-05,0.1634142093033999,0,-0.1634142093033999,-0.1634142093033999,0.08635328103340148,-0.09716278960773901,-0.010809508574337531,-0.004684041704081962,0.006125466870255583
0.8201605116729733,0.598663851973414,0.246048153501892,0.2472615416561479,1.468497424070945,2018-07-24 00:00:00+00:00,2018-10-22 00:00:00+00:00,False,0.0,0.004931506849314982,0.01666666666666667,0.02159817351598165,0.0863926940639266,9.355079618522666e-06,0.1341028494907721,0,-0.1341028494907721,-0.1341028494907721,0.06294942183110183,-0.08028252843675661,-0.017333106605654777,-0.012018915893034028,0.005314190712620763
0.8375423465443406,0.5998078717727671,0.25126270396330214,0.25250180770887454,1.398790772023977,2018-07-25 00:00:00+00:00,2018-10-23 00:00:00+00:00,False,0.0,0.004931506849314982,0.01666666666666667,0.02159817351598165,0.10799086757990825,7.9568533045693e-06,0.1285405247937661,0,-0.1285405247937661,-0.1285405247937661,0.06270178968393922,-0.07709961861310344,-0.01439782892916422,-0.008971013450870115,0.005426815478294104
0.8375423465443406,0.5998078717727671,0.25126270396330214,0.25250180770887454,1.2900890762032236,2018-07-26 00:00:00+00:00,2018-10-24 00:00:00+00:00,False,0.0,0.004931506849314982,0.01666666666666667,0.02159817351598165,0.1295890410958899,6.6933771200039516e-06,0.12080916899694916,0,-0.12080916899694916,-0.12080916899694916,0.06008273935959567,-0.07246229054669663,-0.012379551187100962,-0.0069527357088068585,0.005426815478294104
0.7634105193468278,0.6128967749024707,0.22902315580404833,0.23015258506554773,1.2753002365134174,2018-07-27 00:00:00+00:00,2018-10-25 00:00:00+00:00,False,0.0,0.004931506849314982,0.016666666666666666,0.021598173515981648,0.15118721461187154,5.360815302335453e-06,0.10493648681372592,0,-0.10493648681372592,-0.10493648681372592,0.04789437497016454,-0.06431523433772826,-0.01642085936756372,-0.01147437750933018,0.004946481858233532
0.7736055090816442,0.5481086310745529,0.23208165272449324,0.2332261649845044,1.2284990555722095,2018-07-28 00:00:00+00:00,2018-10-26 00:00:00+00:00,False,0.0,0.004931506849314982,0.016666666666666666,0.021598173515981648,0.17278538812785318,4.5427924660890184e-06,0.09998153125173115,0,-0.09998153125173115,-0.09998153125173115,0.04720071347111922,-0.05480074022712399,-0.0076000267560047685,-0.002587486950585382,0.0050125398054193865
0.7003321347380045,0.6105947125214436,0.21009964042140133,0.2111357482371781,1.2340827734200934,2018-07-29 00:00:00+00:00,2018-10-27 00:00:00+00:00,False,0.0,0.004931506849314982,0.016666666666666666,0.021598173515981648,0.19438356164383483,3.6262102210971037e-06,0.08676553274176724,0,-0.08676553274176724,-0.08676553274176724,0.03740534661463377,-0.05297857552122927,-0.015573228906595502,-0.011035460417128705,0.004537768489466782
0.6950897039684247,0.6082929750853155,0.2085269111905274,0.20955526308133,1.177592882521192,2018-07-30 00:00:00+00:00,2018-10-28 00:00:00+00:00,False,0.0,0.004931506849314982,0.016666666666666666,0.021598173515981648,0.21598173515981647,3.039980535302078e-06,0.08140043272444863,0,-0.08140043272444863,-0.08140043272444863,0.035383709202511986,-0.04951531139518694,-0.014131602192674952,-0.009627801782030248,0.0045038004106447045
