snapped_at,price,market_cap,total_volume
2023-01-19 00:00:00 UTC,2.415069765218341,0.0,1045663.4800228813
2023-01-20 00:00:00 UTC,2.415069765218341,0.0,1045663.4800228813
2023-01-21 00:00:00 UTC,1.998553191677955,0.0,681147.014013089
2023-01-22 00:00:00 UTC,1.9789990591577589,0.0,176692.447112971
2023-01-23 00:00:00 UTC,1.8082418795141308,0.0,219781.43660581083
2023-01-24 00:00:00 UTC,1.8771601561090725,0.0,505034.487341063
2023-01-25 00:00:00 UTC,1.7791250392017444,0.0,444108.44369836105
2023-01-26 00:00:00 UTC,2.350026714910306,0.0,299096.3239827595
2023-01-27 00:00:00 UTC,2.06442911882731,0.0,186053.74712599188
2023-01-28 00:00:00 UTC,2.1907389053549147,1674603.559452177,653261.7160818906
2023-01-29 00:00:00 UTC,2.382280571905704,1903222.50983236,232759.02073370476
2023-01-30 00:00:00 UTC,3.54110513518663,2820489.066275465,685799.5698848336
2023-01-31 00:00:00 UTC,3.499886733241098,3217409.9381202296,702725.3319599509
2023-02-01 00:00:00 UTC,3.3311412827499702,3114730.068481542,304777.4499791577
2023-02-02 00:00:00 UTC,3.6507661427756597,3467311.5071774726,623354.9323905298
2023-02-03 00:00:00 UTC,4.936184941229131,5427057.534834822,1636664.3089152724
2023-02-04 00:00:00 UTC,5.967324194023784,7014469.8145856215,1507778.4985295965
2023-02-05 00:00:00 UTC,6.669775023837096,8536483.276579175,2149099.835934994
2023-02-06 00:00:00 UTC,6.024709221107599,7194710.145863532,1203155.729638709
2023-02-07 00:00:00 UTC,6.624957760382972,7975207.3831353905,913212.3855628052
2023-02-08 00:00:00 UTC,6.261077700398447,7611272.255384121,294664.0344989882
2023-02-09 00:00:00 UTC,5.220462791999768,6475895.236474394,832139.0215564782
2023-02-10 00:00:00 UTC,4.160029728033209,5201178.758354539,1099019.0946535303
2023-02-11 00:00:00 UTC,4.162563379378929,5270834.49515511,225336.1085211248
2023-02-12 00:00:00 UTC,4.313504264438562,5499244.058856315,228680.15582185343
2023-02-13 00:00:00 UTC,4.966735372950774,6389991.043552571,676688.8787053531
2023-02-14 00:00:00 UTC,4.5076231579256465,5802242.767805679,337886.5795943482
2023-02-15 00:00:00 UTC,4.901169406746987,6545143.344639436,251702.68719640802
2023-02-16 00:00:00 UTC,5.740755946377836,7776777.630315068,318487.2779549796
2023-02-17 00:00:00 UTC,4.986497802650593,6806114.957994168,299303.79148480075
2023-02-18 00:00:00 UTC,5.187713149137513,7186784.039809207,320776.7248632429
2023-02-19 00:00:00 UTC,4.754740595632759,6628626.539774302,166298.87626893044
2023-02-20 00:00:00 UTC,4.081742076772811,5770831.570372198,287056.13975284394
2023-02-21 00:00:00 UTC,4.006378129076654,5709801.463426719,417357.9866368428
2023-02-22 00:00:00 UTC,3.693855886549118,5293050.891981166,137516.03412551095
2023-02-23 00:00:00 UTC,3.7272852731555317,5392347.563726734,144940.07918748586
2023-02-24 00:00:00 UTC,3.7727998640120735,5595238.02614592,46223.38400631634
2023-02-25 00:00:00 UTC,3.7054720923895275,5559910.422361391,174750.73057934016
2023-02-26 00:00:00 UTC,3.7303249826291993,5605592.709424758,192628.04178118758
2023-02-27 00:00:00 UTC,4.0876255689268035,6178846.999390433,286687.7013308457
2023-02-28 00:00:00 UTC,4.255605115132303,6530328.961885219,250268.69330298543
2023-03-01 00:00:00 UTC,3.916887230709481,6105708.906283333,192504.22560512042
2023-03-02 00:00:00 UTC,4.029770332069913,6336473.887167303,191999.0651845933
2023-03-03 00:00:00 UTC,3.8172829915547606,6032386.300258975,108545.10100431193
2023-03-04 00:00:00 UTC,3.4477846415080804,5499087.640134797,139046.87331219777
2023-03-05 00:00:00 UTC,3.3205908133940825,5326524.448966226,72266.9065008689
2023-03-06 00:00:00 UTC,3.2988627790295664,5333939.243817548,78981.4132939205
2023-03-07 00:00:00 UTC,3.3125269866239444,5384028.785415235,107979.01017327348
2023-03-08 00:00:00 UTC,3.1289817512114864,5215822.738504994,61314.695234722436
2023-03-09 00:00:00 UTC,3.0184239924773872,5092145.471579058,55079.29525120712
2023-03-10 00:00:00 UTC,2.867166991956749,4844476.63593799,72825.48978783797
2023-03-11 00:00:00 UTC,2.688037791930758,4593926.582362575,98031.12500731478
2023-03-12 00:00:00 UTC,2.6665914591203825,4644367.218264825,122354.79780559234
2023-03-13 00:00:00 UTC,2.7805018455275645,4867049.236962603,86558.57884176547
2023-03-14 00:00:00 UTC,2.84273958586433,5032793.717599139,98563.31591881285
2023-03-15 00:00:00 UTC,2.8825732777367707,5569131.132450573,91733.77839260772
2023-03-16 00:00:00 UTC,3.06290511637735,6048880.617206188,336132.50795991824
2023-03-17 00:00:00 UTC,3.0770830659677304,6153596.86389719,51399.55032589963
2023-03-18 00:00:00 UTC,3.158056126817862,6377349.047277507,75969.59537331568
2023-03-19 00:00:00 UTC,3.0373531318888114,6242560.058748389,78102.68445689009
2023-03-20 00:00:00 UTC,3.334761326464944,6893886.1580812605,174033.94694282836
2023-03-21 00:00:00 UTC,3.046353917394618,6356668.628321424,81141.7203208764
2023-03-22 00:00:00 UTC,3.1920326409111626,6810022.283412149,278353.02090661175
2023-03-23 00:00:00 UTC,3.1244539358486905,6775785.3437893875,115729.93430067861
2023-03-24 00:00:00 UTC,3.1489223518262786,6741763.07106489,48144.99711194355
2023-03-25 00:00:00 UTC,2.7948066464005077,6070920.753200562,66020.97995652245
2023-03-26 00:00:00 UTC,2.8543285526755766,5888525.807306881,17464.36623761591
2023-03-27 00:00:00 UTC,2.5992709625601784,5667923.21021818,63926.92807330323
2023-03-28 00:00:00 UTC,2.5555175576753255,5629810.828200366,73740.78400515977
2023-03-29 00:00:00 UTC,2.547555979887878,5664693.897354681,18621.057275828836
2023-03-30 00:00:00 UTC,2.197716920522059,4911859.492067582,64236.53760319799
2023-03-31 00:00:00 UTC,2.1317678445108426,4771601.318241979,28677.77324558576
2023-04-01 00:00:00 UTC,2.282971446631739,5212376.86553486,42958.681660061826
2023-04-02 00:00:00 UTC,2.105905946607291,4851951.6318750745,54981.20131905537
