snapped_at,price,market_cap,total_volume
2021-03-31 00:00:00 UTC,46.67514952575587,6615161.18105145,10933215.997082641
2021-04-01 00:00:00 UTC,46.67514952575587,6615161.18105145,10933215.997082641
2021-04-02 00:00:00 UTC,78.138373611366,32169865.316873446,31196559.042043027
2021-04-03 00:00:00 UTC,92.87444389758001,6016447.021017533,28941230.460458804
2021-04-04 00:00:00 UTC,77.53897509035339,5043018.042288533,5875957.916015591
2021-04-05 00:00:00 UTC,81.77920397052691,5277588.403357214,3099339.2012453587
2021-04-06 00:00:00 UTC,100.42714062730877,58659564.40472794,9502765.734624587
2021-04-07 00:00:00 UTC,89.5441876563657,51716972.222360566,5763801.412356531
2021-04-08 00:00:00 UTC,81.317388316377,47864880.516711615,4804750.56691462
2021-04-09 00:00:00 UTC,87.98962898322434,51333864.2011678,3528969.7298113047
2021-04-10 00:00:00 UTC,75.47092567005336,44183946.43211262,3803065.910248483
2021-04-11 00:00:00 UTC,88.78816983142048,51937075.99121555,3979687.5624534404
2021-04-12 00:00:00 UTC,97.75262246167783,56424925.4629352,4699960.308675086
2021-04-13 00:00:00 UTC,87.15043504131772,50778008.36692455,2949060.1544662677
2021-04-14 00:00:00 UTC,80.76765434767222,47295507.333491586,3400728.041236883
2021-04-15 00:00:00 UTC,80.41301899056461,47104934.472940765,2602560.4679121454
2021-04-16 00:00:00 UTC,75.07370967764938,44235389.27399954,2604280.196710263
2021-04-17 00:00:00 UTC,71.63039251672606,41905053.36702844,2293645.810778427
2021-04-18 00:00:00 UTC,72.21215697756904,42344662.090015605,2153060.356553261
2021-04-19 00:00:00 UTC,69.3766139758477,40723510.358262256,1986550.816141725
2021-04-20 00:00:00 UTC,63.08094099020737,37037980.68901278,1457479.1038508841
2021-04-21 00:00:00 UTC,73.74658089342824,43308403.5625974,3217981.198477509
2021-04-22 00:00:00 UTC,69.07330040388733,40566589.24050382,1840518.5495810448
2021-04-23 00:00:00 UTC,70.00528095055128,41171550.375329785,1356420.181934934
2021-04-24 00:00:00 UTC,66.29705052507116,42416600.81784845,2562565.3285047417
2021-04-25 00:00:00 UTC,64.51914247909077,41312444.95702706,1890393.343455081
2021-04-26 00:00:00 UTC,59.82899513436883,38338137.42602362,1764625.8442666412
2021-04-27 00:00:00 UTC,67.2495048022967,42834400.90147244,1917198.906265702
2021-04-28 00:00:00 UTC,63.180685508245844,41387322.41657656,2585175.297982071
2021-04-29 00:00:00 UTC,60.66007983303402,38897253.91290254,2992605.0763799488
2021-04-30 00:00:00 UTC,62.196854781010764,40530074.65687485,1694167.690838851
2021-05-01 00:00:00 UTC,62.41501835690995,40733928.536517814,1017865.8616319008
2021-05-02 00:00:00 UTC,69.85079997377308,45689383.695015945,1471670.6473999429
2021-05-03 00:00:00 UTC,65.55392152944187,42778677.36067714,1463929.3380536682
2021-05-04 00:00:00 UTC,63.00408354098064,41084256.19242983,697972.8989377738
2021-05-05 00:00:00 UTC,60.01373726292086,39461238.392246395,3017457.959431704
2021-05-06 00:00:00 UTC,65.54465076474393,42753482.93633113,1174339.6688591843
2021-05-07 00:00:00 UTC,62.80210388733142,41066866.354472995,1941349.2127817133
2021-05-08 00:00:00 UTC,65.6367711089634,42796913.778106,1964602.013587382
2021-05-09 00:00:00 UTC,66.4953579395458,43320671.72515757,2092260.2929923534
2021-05-10 00:00:00 UTC,69.32483473202339,45236880.96766919,1363407.0886968551
2021-05-11 00:00:00 UTC,64.26815789365936,41887004.363069735,2113521.7920397315
2021-05-12 00:00:00 UTC,65.36916277408933,42690912.020704724,1334564.9577977932
2021-05-13 00:00:00 UTC,65.5898272742277,44280854.47035216,1824037.749385637
2021-05-14 00:00:00 UTC,69.84210505480448,45385149.46656788,1404628.0916615047
2021-05-15 00:00:00 UTC,85.74112095829429,55915191.648471735,4401081.483129396
2021-05-16 00:00:00 UTC,77.34290384089346,50510217.553284764,4178255.6998786414
2021-05-17 00:00:00 UTC,77.98490579562,49765761.343760654,3429860.4438332287
2021-05-18 00:00:00 UTC,75.88919973531561,49525335.09125212,2385618.179216127
2021-05-19 00:00:00 UTC,80.94883953234968,52860452.75798482,1425317.2401555588
2021-05-20 00:00:00 UTC,62.91776631198193,41311010.575164706,3732492.6480078553
2021-05-21 00:00:00 UTC,68.67319951933426,44511785.58211504,2817170.871602984
2021-05-22 00:00:00 UTC,59.865425732644454,39158296.4354627,4280546.311648498
2021-05-23 00:00:00 UTC,57.915363224812296,37898565.15845396,1403267.6508832772
2021-05-24 00:00:00 UTC,46.54698933807308,30314564.5074078,1532124.9701775713
2021-05-25 00:00:00 UTC,61.63860987593584,40243576.04076648,2625809.8573052455
2021-05-26 00:00:00 UTC,58.76365037455172,38276782.14020522,1703868.6484042131
2021-05-27 00:00:00 UTC,61.82627823155,39390311.47056548,697729.5169295573
2021-05-28 00:00:00 UTC,59.767944915213405,39015183.18286263,957782.1054343831
2021-05-29 00:00:00 UTC,54.427917277447236,35602363.373959616,1674494.883977932
2021-05-30 00:00:00 UTC,52.72362131263423,34563479.688180886,880700.1983646018
2021-05-31 00:00:00 UTC,56.69198108565051,36906795.96534094,642491.3878925077
2021-06-01 00:00:00 UTC,63.0151473673378,40854236.87923819,792103.8775443772
2021-06-02 00:00:00 UTC,62.1474351608916,40534718.923672676,1279159.2431991731
2021-06-03 00:00:00 UTC,64.91098355194376,42492894.63364326,627799.0163921966
2021-06-04 00:00:00 UTC,66.40204474948038,43250358.948486395,1430319.845240256
2021-06-05 00:00:00 UTC,62.28239542652488,40583448.343555234,957674.7338141259
2021-06-06 00:00:00 UTC,61.67165221951045,40131933.19220874,1013715.5934680208
2021-06-07 00:00:00 UTC,63.01786837420453,41057077.32272661,730872.7775579784
2021-06-08 00:00:00 UTC,61.01223574293606,40007544.862063065,592897.9412708242
2021-06-09 00:00:00 UTC,57.6256581050459,37428799.34666451,1502837.8115386066
2021-06-10 00:00:00 UTC,60.409323430516665,39886118.645561315,747699.3193943644
2021-06-11 00:00:00 UTC,55.03250229034391,35813972.42268409,729260.666484683
2021-06-12 00:00:00 UTC,48.08271613609915,31562895.674725346,1127298.2539682195
2021-06-13 00:00:00 UTC,48.98830207022237,32050051.42848936,565722.8990248393
2021-06-14 00:00:00 UTC,51.374552154005016,33391304.54158461,1114988.7067672918
2021-06-15 00:00:00 UTC,49.60095932224136,32337175.928091183,1400492.0039756496
2021-06-16 00:00:00 UTC,52.46108997030466,34281395.224798806,670094.6829464437
