snapped_at,price,market_cap,total_volume
2022-11-12 00:00:00 UTC,3.223874184352382,1004324454.0758127,330770129.43539345
2022-11-13 00:00:00 UTC,2.882729193972342,904750818.5827498,197158892.02356485
2022-11-14 00:00:00 UTC,2.891155902763324,896372138.0326489,169665366.1467346
2022-11-15 00:00:00 UTC,2.986903189899364,938147131.6122739,254473042.97486374
2022-11-16 00:00:00 UTC,2.9412228727283876,925924522.6976722,144633621.33860806
2022-11-17 00:00:00 UTC,2.9965457082552,938453963.8762838,128754105.66702542
2022-11-18 00:00:00 UTC,2.878857274640507,905823202.1118585,79052206.02407336
2022-11-19 00:00:00 UTC,3.1590806047922784,991429281.1970085,170837870.53688496
2022-11-20 00:00:00 UTC,3.312096785856093,1040430856.5711768,162422389.01022896
2022-11-21 00:00:00 UTC,3.0359305830844328,955691650.4098825,132302079.0840058
2022-11-22 00:00:00 UTC,3.156431355313781,986101541.4842008,214602671.22360992
2022-11-23 00:00:00 UTC,3.2465866154874012,1173847540.0284867,220845916.6481635
2022-11-24 00:00:00 UTC,3.462903243537942,1244257938.6638813,211626724.56917784
2022-11-25 00:00:00 UTC,3.318704054751803,1198251744.375165,150645106.73257655
2022-11-26 00:00:00 UTC,3.2313957650913174,1166790507.62859,93101399.94583136
2022-11-27 00:00:00 UTC,3.5560866663149513,1286087277.3942063,197528552.18066356
2022-11-28 00:00:00 UTC,3.8260244725206483,1396588358.094608,271895764.9883438
2022-11-29 00:00:00 UTC,4.068621516910909,1470331718.808842,397471646.56753135
2022-11-30 00:00:00 UTC,4.078994686202263,1474673452.0399482,254827004.92133993
2022-12-01 00:00:00 UTC,4.110949957272034,1489459343.1388693,330009276.606816
2022-12-02 00:00:00 UTC,3.876706779740129,1400505825.790897,149268305.75038558
2022-12-03 00:00:00 UTC,3.976223932284674,1434858345.4000375,149491083.43452644
2022-12-04 00:00:00 UTC,3.8776614146087605,1405570944.9794736,123503065.19657019
2022-12-05 00:00:00 UTC,4.01072937274374,1447423370.0152998,140286152.35753325
2022-12-06 00:00:00 UTC,3.9591288495197463,1430668301.1930575,230329254.31685114
2022-12-07 00:00:00 UTC,4.188162959398973,1516244791.096987,225749347.106148
2022-12-08 00:00:00 UTC,3.9081921523070444,1415216065.335684,225549735.85664642
2022-12-09 00:00:00 UTC,3.95409842949606,1429060551.5418265,151495937.78188956
2022-12-10 00:00:00 UTC,3.919034003319435,1414451015.8452895,118881890.29264909
2022-12-11 00:00:00 UTC,4.072465886748361,1471824615.9317844,168605521.48098984
2022-12-12 00:00:00 UTC,4.279678310343299,1541396820.6883895,335799189.60184014
